batch,style,id_idx,render,age_bin,age_mid,detected,buffalo_age,buffalo_gender
refs,chibi_furry,17,id_17_seed28573689.png,20-29,25.0,True,25.0,M
refs,chibi_furry,17,id_17_seed29271630.png,20-29,25.0,True,32.0,M
refs,chibi_furry,18,id_18_seed24286699.png,10-19,,True,21.0,F
refs,chibi_furry,18,id_18_seed26983065.png,10-19,,True,27.0,F
refs,chibi_furry,18,id_18_seed29352768.png,10-19,,True,20.0,F
refs,chibi_furry,19,id_19_seed22603473.png,3-9,,True,23.0,F
refs,chibi_furry,19,id_19_seed23301414.png,3-9,,True,20.0,F
refs,chibi_furry,19,id_19_seed30156664.png,3-9,,True,19.0,F
identities_flux,anchor,0,id_00.png,20-29,25.0,True,25.0,F
identities_flux,anchor,1,id_01.png,20-29,25.0,True,34.0,M
identities_flux,anchor,2,id_02.png,20-29,25.0,True,27.0,F
identities_flux,anchor,3,id_03.png,20-29,25.0,True,27.0,M
identities_flux,anchor,4,id_04.png,20-29,25.0,True,25.0,F
identities_flux,anchor,5,id_05.png,20-29,25.0,True,37.0,M
identities_flux,anchor,6,id_06.png,20-29,25.0,False,,
identities_flux,anchor,7,id_07.png,20-29,25.0,True,28.0,M
identities_flux,anchor,8,id_08.png,30-39,35.0,True,31.0,F
identities_flux,anchor,9,id_09.png,30-39,35.0,True,39.0,M
identities_flux,anchor,10,id_10.png,30-39,35.0,True,46.0,F
identities_flux,anchor,11,id_11.png,30-39,35.0,True,58.0,M
identities_flux,anchor,12,id_12.png,30-39,35.0,True,38.0,F
identities_flux,anchor,13,id_13.png,30-39,35.0,False,,
identities_flux,anchor,14,id_14.png,40-49,45.0,True,77.0,F
identities_flux,anchor,15,id_15.png,40-49,45.0,True,40.0,M
identities_flux,anchor,16,id_16.png,40-49,45.0,True,67.0,F
identities_flux,anchor,17,id_17.png,40-49,45.0,True,67.0,M
identities_flux,anchor,18,id_18.png,50-59,55.0,True,73.0,M
identities_flux,anchor,19,id_19.png,50-59,55.0,False,,
refs_v2,photoreal,0,id_00_seed23133261.png,20-29,25.0,True,26.0,F
refs_v2,photoreal,0,id_00_seed25131686.png,20-29,25.0,True,25.0,F
refs_v2,photoreal,0,id_00_seed30197755.png,20-29,25.0,True,27.0,F
refs_v2,photoreal,1,id_01_seed23868902.png,20-29,25.0,False,,
refs_v2,photoreal,1,id_01_seed24566843.png,20-29,25.0,True,27.0,M
refs_v2,photoreal,1,id_01_seed26565268.png,20-29,25.0,True,29.0,M
refs_v2,photoreal,2,id_02_seed24823990.png,20-29,25.0,True,21.0,M
refs_v2,photoreal,2,id_02_seed27270799.png,20-29,25.0,True,21.0,M
refs_v2,photoreal,2,id_02_seed27968740.png,20-29,25.0,True,21.0,M
refs_v2,photoreal,3,id_03_seed25590025.png,20-29,25.0,True,26.0,M
refs_v2,photoreal,3,id_03_seed27588450.png,20-29,25.0,True,26.0,M
refs_v2,photoreal,3,id_03_seed30075572.png,20-29,25.0,True,26.0,M
refs_v2,photoreal,4,id_04_seed21907200.png,20-29,25.0,True,22.0,F
refs_v2,photoreal,4,id_04_seed24276903.png,20-29,25.0,True,23.0,F
refs_v2,photoreal,4,id_04_seed26973269.png,20-29,25.0,True,22.0,F
refs_v2,photoreal,5,id_05_seed21943064.png,20-29,25.0,True,37.0,M
refs_v2,photoreal,5,id_05_seed22641005.png,20-29,25.0,True,39.0,M
refs_v2,photoreal,5,id_05_seed29944639.png,20-29,25.0,True,35.0,M
refs_v2,photoreal,6,id_06_seed21854292.png,20-29,25.0,True,21.0,F
refs_v2,photoreal,6,id_06_seed23852717.png,20-29,25.0,True,24.0,M
refs_v2,photoreal,6,id_06_seed24550658.png,20-29,25.0,False,,
refs_v2,photoreal,7,id_07_seed24227981.png,20-29,25.0,True,25.0,M
refs_v2,photoreal,7,id_07_seed26597684.png,20-29,25.0,False,,
refs_v2,photoreal,7,id_07_seed29294050.png,20-29,25.0,True,26.0,M
refs_v2,photoreal,8,id_08_seed21053699.png,30-39,35.0,True,23.0,M
refs_v2,photoreal,8,id_08_seed21751640.png,30-39,35.0,True,22.0,M
refs_v2,photoreal,8,id_08_seed28606890.png,30-39,35.0,True,21.0,F
refs_v2,photoreal,9,id_09_seed22022882.png,30-39,35.0,True,43.0,M
refs_v2,photoreal,9,id_09_seed24719248.png,30-39,35.0,True,36.0,M
refs_v2,photoreal,9,id_09_seed27088951.png,30-39,35.0,True,41.0,M
refs_v2,photoreal,10,id_10_seed22787190.png,30-39,35.0,True,32.0,F
refs_v2,photoreal,10,id_10_seed25156893.png,30-39,35.0,True,40.0,F
refs_v2,photoreal,10,id_10_seed30090824.png,30-39,35.0,True,31.0,F
refs_v2,photoreal,11,id_11_seed21893645.png,30-39,35.0,True,48.0,M
refs_v2,photoreal,11,id_11_seed24340454.png,30-39,35.0,True,50.0,M
refs_v2,photoreal,11,id_11_seed24590011.png,30-39,35.0,True,47.0,M
refs_v2,photoreal,12,id_12_seed24065049.png,30-39,35.0,True,27.0,F
refs_v2,photoreal,12,id_12_seed26434752.png,30-39,35.0,True,27.0,F
refs_v2,photoreal,12,id_12_seed29579502.png,30-39,35.0,True,27.0,F
refs_v2,photoreal,13,id_13_seed25393667.png,30-39,35.0,False,,
refs_v2,photoreal,13,id_13_seed26091608.png,30-39,35.0,False,,
refs_v2,photoreal,13,id_13_seed28090033.png,30-39,35.0,True,37.0,M
refs_v2,photoreal,14,id_14_seed21774238.png,40-49,45.0,True,67.0,F
refs_v2,photoreal,14,id_14_seed22472179.png,40-49,45.0,True,50.0,F
refs_v2,photoreal,14,id_14_seed24470604.png,40-49,45.0,True,53.0,F
refs_v2,photoreal,15,id_15_seed22413096.png,40-49,45.0,True,42.0,M
refs_v2,photoreal,15,id_15_seed24782799.png,40-49,45.0,True,41.0,M
refs_v2,photoreal,15,id_15_seed27479165.png,40-49,45.0,True,34.0,M
refs_v2,photoreal,16,id_16_seed25616450.png,40-49,45.0,True,56.0,F
refs_v2,photoreal,16,id_16_seed26314391.png,40-49,45.0,True,56.0,F
refs_v2,photoreal,16,id_16_seed28312816.png,40-49,45.0,True,51.0,F
refs_v2,photoreal,17,id_17_seed24758185.png,40-49,45.0,True,55.0,M
refs_v2,photoreal,17,id_17_seed27693691.png,40-49,45.0,True,48.0,M
refs_v2,photoreal,17,id_17_seed29692116.png,40-49,45.0,True,60.0,M
refs_v2,photoreal,18,id_18_seed22673087.png,50-59,55.0,True,71.0,M
refs_v2,photoreal,18,id_18_seed27607018.png,50-59,55.0,True,73.0,F
refs_v2,photoreal,18,id_18_seed29976721.png,50-59,55.0,True,66.0,F
refs_v2,photoreal,19,id_19_seed24713239.png,50-59,55.0,False,,
refs_v2,photoreal,19,id_19_seed26634558.png,50-59,55.0,False,,
refs_v2,photoreal,19,id_19_seed26711664.png,50-59,55.0,False,,
refs_v2,chibi,0,id_00_seed29189240.png,20-29,25.0,True,19.0,F
refs_v2,chibi,1,id_01_seed22078971.png,20-29,25.0,False,,
refs_v2,chibi,1,id_01_seed24077396.png,20-29,25.0,False,,
refs_v2,chibi,1,id_01_seed26075821.png,20-29,25.0,True,9.0,F
refs_v2,chibi,2,id_02_seed20879969.png,20-29,25.0,True,19.0,F
refs_v2,chibi,2,id_02_seed21577910.png,20-29,25.0,True,19.0,F
refs_v2,chibi,2,id_02_seed23576335.png,20-29,25.0,True,18.0,F
refs_v2,chibi,3,id_03_seed24342370.png,20-29,25.0,True,24.0,M
refs_v2,chibi,3,id_03_seed26829492.png,20-29,25.0,True,22.0,F
refs_v2,chibi,3,id_03_seed29276301.png,20-29,25.0,True,20.0,F
refs_v2,chibi,4,id_04_seed23787456.png,20-29,25.0,True,19.0,F
refs_v2,chibi,4,id_04_seed24037013.png,20-29,25.0,True,5.0,F
