set,render,id_idx,mp_detected,iod_over_facew,eye_vpos,lower_face_ratio,bs_jawOpen,bs_eyeBlink,bs_mean_abs,arc_detected,arc_anchor_ok,arc_cosine
refs_v2,id_12_seed29090055.png,12,True,0.49002885091264226,0.37442578074352306,0.15999665675002528,0.0006885227048769593,0.015679004602134228,0.05595456315649468,True,True,0.38832587003707886
refs_v2,id_13_seed22147587.png,13,True,0.47617439033660935,0.38021918245831493,0.12911254177606593,0.00864273402839899,0.003012743196450174,0.10036711848989022,False,False,
refs_v2,id_13_seed24146012.png,13,True,0.4728637103820477,0.32729622048723656,0.2093254204452456,0.00336648290976882,0.0032907624263316393,0.06426463921884927,False,False,
refs_v2,id_13_seed24843953.png,13,True,0.4903425245055882,0.38286058486403424,0.17641538229934559,0.0030413437634706497,0.001819901546696201,0.11458956785240136,False,False,
refs_v2,id_14_seed23981157.png,14,True,0.5013234026843424,0.4226239809466693,0.16208330157754092,0.0008062825654633343,0.0011644375626929104,0.09372181422520402,True,True,0.027926238253712654
refs_v2,id_14_seed26350860.png,14,True,0.4948411916806208,0.35947528249438376,0.2136764765049641,0.000653755443636328,0.013993314933031797,0.07559786436374721,False,True,
refs_v2,id_14_seed29047226.png,14,True,0.5089624221040855,0.430355045785594,0.15655206546124087,0.0008250165265053511,0.004955730866640806,0.08849819241515328,True,True,0.0519474521279335
refs_v2,id_15_seed21088335.png,15,True,0.5279660421855392,0.3907979801905798,0.14908619731590556,0.00052400934509933,0.0017081612022593617,0.08752458626762141,True,True,0.12122565507888794
refs_v2,id_15_seed21165441.png,15,True,0.5098148812850751,0.41669681735386205,0.17145318790047478,0.0006015841499902308,0.004364154767245054,0.10207738401541332,True,True,0.11985000967979431
refs_v2,id_15_seed28718632.png,15,True,0.524920324171483,0.400613402131894,0.1204077358131169,0.0013356630224734545,0.002652907103765756,0.07635317695176105,True,True,0.11267314851284027
refs_v2,id_16_seed22680194.png,16,True,0.49474974507830577,0.40701332618946146,0.2050154993655051,0.0012532450491562486,0.002997297910042107,0.1273141272054525,True,True,0.09287057816982269
refs_v2,id_16_seed28194647.png,16,True,0.5062592900459677,0.3950407575489885,0.1736574377064445,0.0006347679882310331,0.00231644551968202,0.07657813276119049,True,True,0.17164018750190735
refs_v2,id_16_seed30193072.png,16,True,0.4895205647737849,0.36279910216271116,0.16694040279416072,0.0007143799448385835,0.000808993456303142,0.06711689239231457,True,True,0.35130244493484497
refs_v2,id_17_seed21572372.png,17,True,0.4584788293075956,0.3645223462386499,0.18817595580355082,0.0006541097536683083,0.027686255052685738,0.030931485797117568,True,True,0.33922910690307617
refs_v2,id_17_seed22270313.png,17,True,0.5048628406657227,0.4083822095859284,0.15832279459760926,0.0006193205481395125,0.003342311887536198,0.07700691647230794,True,True,0.12447025626897812
refs_v2,id_17_seed29573947.png,17,True,0.5056525628756391,0.39455329249646026,0.17258165222850647,0.002560571301728487,0.0029559050453826785,0.08408939588009409,True,True,0.09555631875991821
refs_v2,id_18_seed21664572.png,18,True,0.5235789345660846,0.4388564224250971,0.14437670240958933,0.0011410834267735481,0.004365110187791288,0.11254519515563398,True,True,0.1847565472126007
refs_v2,id_18_seed21914129.png,18,True,0.510183302660728,0.4369819325401253,0.151520849872096,0.0010978254722431302,0.005666820681653917,0.10803525976627334,True,True,0.15751400589942932
refs_v2,id_18_seed24360938.png,18,True,0.4839353047102887,0.4305107041826331,0.16886919255005567,0.0012995563447475433,0.004700489109382033,0.10966766944091032,True,True,0.16333237290382385
refs_v2,id_19_seed26145111.png,19,True,0.5268033981686068,0.44981575667445584,0.13227328767167,0.0010949120623990893,0.0024663001531735063,0.08210703800144217,False,False,
refs_v2,id_19_seed28591920.png,19,True,0.49259065762616006,0.44106360206942197,0.1789895226273292,0.00022866555082146078,0.04467505030333996,0.11899259880413492,True,False,
refs_v2,id_19_seed29289861.png,19,True,0.5156639417449468,0.458044904096548,0.13145795946578814,0.0013325943145900965,0.004018218605779111,0.09567824102074371,True,False,
